board_id,current_a,measured_role,relative_time_s,sample_index
f5ea5fa8fcfa5209,0.0011174847,initiator,6.3,315
f5ea5fa8fcfa5209,0.00114792693,initiator,6.32,316
f5ea5fa8fcfa5209,0.00120383364,initiator,6.34,317
f5ea5fa8fcfa5209,0.00114439076,initiator,6.36,318
f5ea5fa8fcfa5209,0.00113156083,initiator,6.38,319
f5ea5fa8fcfa5209,0.00121381862,initiator,6.4,320
f5ea5fa8fcfa5209,0.00111945232,initiator,6.42,321
f5ea5fa8fcfa5209,0.00113501482,initiator,6.44,322
f5ea5fa8fcfa5209,0.00122349006,initiator,6.46,323
f5ea5fa8fcfa5209,0.00112496467,initiator,6.48,324
f5ea5fa8fcfa5209,0.0011207682,initiator,6.5,325
f5ea5fa8fcfa5209,0.00120137284,initiator,6.52,326
f5ea5fa8fcfa5209,0.00111821122,initiator,6.54,327
f5ea5fa8fcfa5209,0.0011342537,initiator,6.56,328
f5ea5fa8fcfa5209,0.00120120605,initiator,6.58,329
f5ea5fa8fcfa5209,0.00112662859,initiator,6.6,330
f5ea5fa8fcfa5209,0.00110368196,initiator,6.62,331
f5ea5fa8fcfa5209,0.00121015271,initiator,6.64,332
f5ea5fa8fcfa5209,0.00111409299,initiator,6.66,333
f5ea5fa8fcfa5209,0.00104950513,initiator,6.68,334
f5ea5fa8fcfa5209,0.00114402201,initiator,6.7,335
f5ea5fa8fcfa5209,0.00105713128,initiator,6.72,336
f5ea5fa8fcfa5209,0.00105059635,initiator,6.74,337
f5ea5fa8fcfa5209,0.00118550027,initiator,6.76,338
f5ea5fa8fcfa5209,0.00109527802,initiator,6.78,339
f5ea5fa8fcfa5209,0.00109250599,initiator,6.8,340
f5ea5fa8fcfa5209,0.00119662242,initiator,6.82,341
f5ea5fa8fcfa5209,0.00111765496,initiator,6.84,342
f5ea5fa8fcfa5209,0.00112392392,initiator,6.86,343
f5ea5fa8fcfa5209,0.0012028599,initiator,6.88,344
f5ea5fa8fcfa5209,0.00111859548,initiator,6.9,345
f5ea5fa8fcfa5209,0.00110756083,initiator,6.92,346
f5ea5fa8fcfa5209,0.00121216605,initiator,6.94,347
f5ea5fa8fcfa5209,0.00113379246,initiator,6.96,348
f5ea5fa8fcfa5209,0.00110320892,initiator,6.98,349
f5ea5fa8fcfa5209,0.00120318317,initiator,7,350
f5ea5fa8fcfa5209,0.00114857474,initiator,7.02,351
f5ea5fa8fcfa5209,0.00110349179,initiator,7.04,352
f5ea5fa8fcfa5209,0.00121203816,initiator,7.06,353
f5ea5fa8fcfa5209,0.0011197477,initiator,7.08,354
f5ea5fa8fcfa5209,0.00110787635,initiator,7.1,355
f5ea5fa8fcfa5209,0.00120995352,initiator,7.12,356
f5ea5fa8fcfa5209,0.00111612936,initiator,7.14,357
f5ea5fa8fcfa5209,0.00112796379,initiator,7.16,358
f5ea5fa8fcfa5209,0.00120176532,initiator,7.18,359
f5ea5fa8fcfa5209,0.00112464835,initiator,7.2,360
f5ea5fa8fcfa5209,0.00109443738,initiator,7.22,361
f5ea5fa8fcfa5209,0.00119302827,initiator,7.24,362
f5ea5fa8fcfa5209,0.00113674667,initiator,7.26,363
f5ea5fa8fcfa5209,0.00110352883,initiator,7.28,364
f5ea5fa8fcfa5209,0.00120215456,initiator,7.3,365
f5ea5fa8fcfa5209,0.00111537472,initiator,7.32,366
f5ea5fa8fcfa5209,0.00110214443,initiator,7.34,367
f5ea5fa8fcfa5209,0.00119349865,initiator,7.36,368
f5ea5fa8fcfa5209,0.00107337781,initiator,7.38,369
f5ea5fa8fcfa5209,0.00104104633,initiator,7.4,370
f5ea5fa8fcfa5209,0.00113271976,initiator,7.42,371
f5ea5fa8fcfa5209,0.00105413529,initiator,7.44,372
f5ea5fa8fcfa5209,0.00108651678,initiator,7.46,373
f5ea5fa8fcfa5209,0.00116146011,initiator,7.48,374
f5ea5fa8fcfa5209,0.00112844979,initiator,7.5,375
f5ea5fa8fcfa5209,0.00109135817,initiator,7.52,376
f5ea5fa8fcfa5209,0.00119344738,initiator,7.54,377
f5ea5fa8fcfa5209,0.00115566975,initiator,7.56,378
f5ea5fa8fcfa5209,0.00110922289,initiator,7.58,379
f5ea5fa8fcfa5209,0.00118873886,initiator,7.6,380
f5ea5fa8fcfa5209,0.0011642767,initiator,7.62,381
f5ea5fa8fcfa5209,0.00109554064,initiator,7.64,382
f5ea5fa8fcfa5209,0.00120857074,initiator,7.66,383
f5ea5fa8fcfa5209,0.0011696115,initiator,7.68,384
f5ea5fa8fcfa5209,0.0010960315,initiator,7.7,385
f5ea5fa8fcfa5209,0.00119442586,initiator,7.72,386
f5ea5fa8fcfa5209,0.00117545892,initiator,7.74,387
f5ea5fa8fcfa5209,0.00112243188,initiator,7.76,388
f5ea5fa8fcfa5209,0.00119559752,initiator,7.78,389
f5ea5fa8fcfa5209,0.00116817132,initiator,7.8,390
f5ea5fa8fcfa5209,0.00111151575,initiator,7.82,391
f5ea5fa8fcfa5209,0.00118837138,initiator,7.84,392
f5ea5fa8fcfa5209,0.00120143326,initiator,7.86,393
f5ea5fa8fcfa5209,0.00108911114,initiator,7.88,394
f5ea5fa8fcfa5209,0.0011977611,initiator,7.9,395
f5ea5fa8fcfa5209,0.00118446114,initiator,7.92,396
f5ea5fa8fcfa5209,0.00110749,initiator,7.94,397
f5ea5fa8fcfa5209,0.00121245564,initiator,7.96,398
f5ea5fa8fcfa5209,0.00121191269,initiator,7.98,399
f5ea5fa8fcfa5209,0.0010985041,initiator,8,400
f5ea5fa8fcfa5209,0.00123043159,initiator,8.02,401
f5ea5fa8fcfa5209,0.0011787033,initiator,8.04,402
f5ea5fa8fcfa5209,0.00107208092,initiator,8.06,403
f5ea5fa8fcfa5209,0.00113245055,initiator,8.08,404
f5ea5fa8fcfa5209,0.00113608358,initiator,8.1,405
f5ea5fa8fcfa5209,0.00103918658,initiator,8.12,406
f5ea5fa8fcfa5209,0.00115675356,initiator,8.14,407
f5ea5fa8fcfa5209,0.00119962443,initiator,8.16,408
f5ea5fa8fcfa5209,0.00109141986,initiator,8.18,409
f5ea5fa8fcfa5209,0.00116936045,initiator,8.2,410
f5ea5fa8fcfa5209,0.00120072804,initiator,8.22,411
f5ea5fa8fcfa5209,0.00110781616,initiator,8.24,412
f5ea5fa8fcfa5209,0.00120729272,initiator,8.26,413
f5ea5fa8fcfa5209,0.00120750117,initiator,8.28,414
f5ea5fa8fcfa5209,0.00110228471,initiator,8.3,415
f5ea5fa8fcfa5209,0.0011921374,initiator,8.32,416
f5ea5fa8fcfa5209,0.001209538,initiator,8.34,417
f5ea5fa8fcfa5209,0.00111814258,initiator,8.36,418
f5ea5fa8fcfa5209,0.00119425433,initiator,8.38,419
f5ea5fa8fcfa5209,0.00120593575,initiator,8.4,420
f5ea5fa8fcfa5209,0.00110175704,initiator,8.42,421
f5ea5fa8fcfa5209,0.00119174099,initiator,8.44,422
f5ea5fa8fcfa5209,0.00122709891,initiator,8.46,423
f5ea5fa8fcfa5209,0.00110142822,initiator,8.48,424
f5ea5fa8fcfa5209,0.00119045902,initiator,8.5,425
f5ea5fa8fcfa5209,0.00120396234,initiator,8.52,426
f5ea5fa8fcfa5209,0.00110209571,initiator,8.54,427
f5ea5fa8fcfa5209,0.00120965618,initiator,8.56,428
f5ea5fa8fcfa5209,0.00120320794,initiator,8.58,429
f5ea5fa8fcfa5209,0.00111092674,initiator,8.6,430
f5ea5fa8fcfa5209,0.00119043842,initiator,8.62,431
f5ea5fa8fcfa5209,0.00121328482,initiator,8.64,432
