dataset,mobility,algorithm,metric,mean,std,runs
hhar,edge_markov_dense,oppfl,loss,0.9366383770392055,0.056832335350295395,12
hhar,edge_markov_dense,oppfl,macro_f1,0.6384940269264517,0.007417307015865175,12
hhar,edge_markov_dense,optimist,accuracy,0.708619056476487,0.004608165860498736,12
hhar,edge_markov_dense,optimist,loss,0.8323440010555916,0.08351564787676007,12
hhar,edge_markov_dense,optimist,macro_f1,0.6987728968020429,0.0042370194332482436,12
hhar,edge_markov_dense,pulse,accuracy,0.8204814907577304,0.0038167979596280123,12
hhar,edge_markov_dense,pulse,loss,0.5763794321704794,0.04316962117663432,12
hhar,edge_markov_dense,pulse,macro_f1,0.8144455819531301,0.0045318540125735725,12
hhar,edge_markov_sparse,local,accuracy,0.6760298968465239,0.012187009869432582,12
hhar,edge_markov_sparse,local,loss,0.8775345070494546,0.020354166172552902,12
hhar,edge_markov_sparse,local,macro_f1,0.6385082797814118,0.014685857054613612,12
hhar,edge_markov_sparse,oppavg,accuracy,0.6132049866848522,0.007243890171877048,12
hhar,edge_markov_sparse,oppavg,loss,0.9665175488701573,0.04194789920432127,12
hhar,edge_markov_sparse,oppavg,macro_f1,0.5535162012876994,0.010618233669821444,12
hhar,edge_markov_sparse,oppfl,accuracy,0.5425349233878983,0.009828562169303003,12
hhar,edge_markov_sparse,oppfl,loss,1.204940252006054,0.11140342783330114,12
hhar,edge_markov_sparse,oppfl,macro_f1,0.5099728577397097,0.012452129219396646,12
hhar,edge_markov_sparse,optimist,accuracy,0.6505424860450957,0.0144569671386419,12
hhar,edge_markov_sparse,optimist,loss,1.0029340460896492,0.08490163521574796,12
hhar,edge_markov_sparse,optimist,macro_f1,0.633259150123826,0.016286641118847905,12
hhar,edge_markov_sparse,pulse,accuracy,0.7622802274094688,0.009363196067970264,12
hhar,edge_markov_sparse,pulse,loss,0.6909467318543681,0.04600756591967768,12
hhar,edge_markov_sparse,pulse,macro_f1,0.7482939078427928,0.011731196292399807,12
hhar,cambridge,local,accuracy,0.8652325040764279,0.00813586992918336,4
hhar,cambridge,local,loss,0.40231215943478876,0.056777039284057466,4
hhar,cambridge,local,macro_f1,0.861937616255488,0.008768513830948338,4
hhar,cambridge,oppavg,accuracy,0.8636715826061037,0.011723561404828869,4
hhar,cambridge,oppavg,loss,0.4106583053556581,0.048460393581403576,4
hhar,cambridge,oppavg,macro_f1,0.8607714434511664,0.011668399640382271,4
hhar,cambridge,oppfl,accuracy,0.5523432923687829,0.009549849227774368,4
hhar,cambridge,oppfl,loss,1.0511527322232723,0.1770199075322904,4
hhar,cambridge,oppfl,macro_f1,0.5164773727086845,0.013341164344796177,4
hhar,cambridge,optimist,accuracy,0.5880113860799207,0.06387265461482679,4
hhar,cambridge,optimist,loss,0.9104620087891817,0.22898808954225205,4
hhar,cambridge,optimist,macro_f1,0.5659937030777394,0.0717404186444419,4
hhar,cambridge,pulse,accuracy,0.8713016692135069,0.008316827540733143,4
hhar,cambridge,pulse,loss,0.3877466825975312,0.034481503601948925,4
hhar,cambridge,pulse,macro_f1,0.8680650605421193,0.008717897651865907,4
sisfall,community_dense,local,accuracy,0.9106507614254952,0.005153929708262432,12
sisfall,community_dense,local,loss,0.19338967251678693,0.03145947473071912,12
sisfall,community_dense,local,macro_f1,0.8074910732363444,0.005359368597868095,12
sisfall,community_dense,oppavg,accuracy,0.908725227912267,0.004316852158904083,12
sisfall,community_dense,oppavg,loss,0.19343011771779853,0.030876594358523315,12
sisfall,community_dense,oppavg,macro_f1,0.8055791068696662,0.004611487922318499,12
sisfall,community_dense,oppfl,accuracy,0.8635989328225454,0.005800772207326374,12
sisfall,community_dense,oppfl,loss,0.2974715288804238,0.06507004720272515,12
sisfall,community_dense,oppfl,macro_f1,0.7623953741674793,0.005474046960767564,12
sisfall,community_dense,optimist,accuracy,0.8449058160185814,0.01066868240636014,12
sisfall,community_dense,optimist,loss,0.4051640788093209,0.04650432118102842,12
sisfall,community_dense,optimist,macro_f1,0.750897532720041,0.006149303928218676,12
sisfall,community_dense,pulse,accuracy,0.9095064178109169,0.0050094874045088595,12
sisfall,community_dense,pulse,loss,0.17737866365811591,0.022573153582266914,12
sisfall,community_dense,pulse,macro_f1,0.8061430971883503,0.005284022387534973,12
sisfall,community_sparse,local,accuracy,0.9105665375789007,0.005108722002215463,12
sisfall,community_sparse,local,loss,0.19290087112070367,0.027858089114051382,12
sisfall,community_sparse,local,macro_f1,0.8072902898505067,0.005326257579337628,12
sisfall,community_sparse,oppavg,accuracy,0.9093778386712074,0.0048566156994953175,12
sisfall,community_sparse,oppavg,loss,0.19418974165455435,0.02805740370210796,12
sisfall,community_sparse,oppavg,macro_f1,0.8061492130388398,0.0051722391848229065,12
sisfall,community_sparse,oppfl,accuracy,0.8433264181017875,0.003390143849945248,12
sisfall,community_sparse,oppfl,loss,0.35258794694931966,0.10586014108880319,12
sisfall,community_sparse,oppfl,macro_f1,0.7402243523897359,0.003625187324733665,12
sisfall,community_sparse,optimist,accuracy,0.8383260518312454,0.008730796144964347,12
sisfall,community_sparse,optimist,loss,0.3958847583271563,0.05584238814691267,12
sisfall,community_sparse,optimist,macro_f1,0.7425404340388136,0.008787190650592719,12
sisfall,community_sparse,pulse,accuracy,0.9077768926819165,0.0035898378203785084,12
sisfall,community_sparse,pulse,loss,0.20868795503283757,0.04604758347153887,12
sisfall,community_sparse,pulse,macro_f1,0.804571512651855,0.003611471004359311,12
sisfall,edge_markov_dense,local,accuracy,0.9106507614254952,0.005153929708262432,12
sisfall,edge_markov_dense,local,loss,0.19338967251678693,0.03145947473071912,12
sisfall,edge_markov_dense,local,macro_f1,0.8074910732363444,0.005359368597868095,12
sisfall,edge_markov_dense,oppavg,accuracy,0.9092522119482358,0.004434695384668608,12
sisfall,edge_markov_dense,oppavg,loss,0.1934005379300894,0.03075401875659972,12
sisfall,edge_markov_dense,oppavg,macro_f1,0.8060831417871542,0.004725341681449985,12
sisfall,edge_markov_dense,oppfl,accuracy,0.8618482542037963,0.011143988505626803,10
sisfall,edge_markov_dense,oppfl,loss,0.29167654995858483,0.06865242621555473,10
sisfall,edge_markov_dense,oppfl,macro_f1,0.7592984851800519,0.011134541108993434,10
sisfall,edge_markov_dense,optimist,accuracy,0.8534456541140875,0.009266277730291903,12
sisfall,edge_markov_dense,optimist,loss,0.38523708263205153,0.06621330192528167,12
sisfall,edge_markov_dense,optimist,macro_f1,0.7547707949928726,0.00824996658264446,12
sisfall,edge_markov_dense,pulse,accuracy,0.9096626808245977,0.004359202401602467,12
sisfall,edge_markov_dense,pulse,loss,0.18176939545313262,0.027842335691474956,12
sisfall,edge_markov_dense,pulse,macro_f1,0.8064812671563716,0.004574654094087272,12
sisfall,edge_markov_sparse,local,accuracy,0.9106507614254952,0.005153929708262432,12
sisfall,edge_markov_sparse,local,loss,0.19338967251678693,0.03145947473071912,12
sisfall,edge_markov_sparse,local,macro_f1,0.8074910732363444,0.005359368597868095,12
sisfall,edge_markov_sparse,oppavg,accuracy,0.9091526105999946,0.004179596744740776,12
sisfall,edge_markov_sparse,oppavg,loss,0.19421436267196743,0.03149227342170843,12
